         1187194 function calls (1168088 primitive calls) in 7.779 CPU seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       21    0.000    0.000    0.001    0.000 axes.py:612(get_xaxis_text2_transform)
   193/85    0.000    0.000    0.006    0.000 axes.py:636(get_yaxis_transform)
       21    0.000    0.000    0.001    0.000 axes.py:659(get_yaxis_text1_transform)
       21    0.000    0.000    0.001    0.000 axes.py:683(get_yaxis_text2_transform)
        2    0.000    0.000    0.000    0.000 axes.py:708(_update_transScale)
      101    0.000    0.000    0.004    0.000 axes.py:719(get_position)
      101    0.000    0.000    0.003    0.000 axes.py:727(set_position)
        1    0.000    0.000    0.000    0.000 axes.py:765(set_axes_locator)
      101    0.000    0.000    0.000    0.000 axes.py:774(get_axes_locator)
        2    0.000    0.000    0.000    0.000 axes.py:780(_set_artist_props)
        1    0.000    0.000    0.000    0.000 axes.py:788(_gen_axes_patch)
        1    0.000    0.000    0.001    0.001 axes.py:802(_gen_axes_spines)
        1    0.000    0.000    0.051    0.051 axes.py:821(cla)
        1    0.000    0.000    0.000    0.000 axes.py:8320(SubplotBase)
        1    0.000    0.000    0.071    0.071 axes.py:8327(__init__)
        1    0.000    0.000    0.000    0.000 axes.py:8388(get_subplotspec)
        1    0.000    0.000    0.000    0.000 axes.py:8396(update_params)
        2    0.000    0.000    0.000    0.000 axes.py:8435(subplot_class_factory)
        1    0.000    0.000    0.000    0.000 axes.py:928(ishold)
        1    0.000    0.000    0.000    0.000 axes.py:932(hold)
      101    0.000    0.000    0.000    0.000 axes.py:961(get_aspect)
        1    0.000    0.000    0.000    0.000 axes.py:964(set_aspect)
      202    0.006    0.000    2.253    0.011 axis.py:1029(draw)
       12    0.000    0.000    0.006    0.001 axis.py:1148(_copy_tick_props)
        4    0.000    0.000    0.000    0.000 axis.py:1167(get_major_locator)
        2    0.000    0.000    0.000    0.000 axis.py:1171(get_minor_locator)
      204    0.001    0.000    0.021    0.000 axis.py:1183(get_major_ticks)
      204    0.000    0.000    0.001    0.000 axis.py:1206(get_minor_ticks)
        2    0.000    0.000    0.000    0.000 axis.py:1230(grid)
        4    0.000    0.000    0.000    0.000 axis.py:1266(update_units)
       16    0.000    0.000    0.000    0.000 axis.py:1288(_update_axisinfo)
        2    0.000    0.000    0.000    0.000 axis.py:1318(have_units)
      210    0.001    0.000    0.005    0.000 axis.py:1321(convert_units)
       16    0.000    0.000    0.000    0.000 axis.py:1333(set_units)
